2025-08-09 19:33:29.309 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 19:34:00.502 AUDIT INFO  asyncSuccess | Opening | project= action=async:Opening node=New Program auditAction=asyncSuccess
2025-08-09 19:48:46.958 AUDIT INFO  commandExecute | Move ProjectA to Other | project= action=execute:Move ProjectA to Other node= auditAction=commandExecute
2025-08-09 19:49:10.716 AUDIT INFO  commandExecute | Move ProjectA to Other | project= action=execute:Move ProjectA to Other node= auditAction=commandExecute
2025-08-09 19:49:37.341 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node= auditAction=commandExecute
2025-08-09 19:56:02.678 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node= auditAction=commandExecute
2025-08-09 19:56:02.678 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node= auditAction=commandUndo
2025-08-09 19:56:02.679 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node= auditAction=commandRedo
2025-08-09 19:56:19.089 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node= auditAction=commandExecute
2025-08-09 19:56:19.090 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node= auditAction=commandUndo
2025-08-09 19:56:19.090 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node= auditAction=commandRedo
2025-08-09 19:56:30.154 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node= auditAction=commandExecute
2025-08-09 19:56:30.155 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node= auditAction=commandUndo
2025-08-09 19:56:30.155 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node= auditAction=commandRedo
2025-08-09 20:02:48.013 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node= auditAction=commandExecute
2025-08-09 20:02:48.014 AUDIT INFO  nodeMove | Move P to B | project= action=execute:Move P to B node= auditAction=nodeMove
2025-08-09 20:02:48.014 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node= auditAction=commandUndo
2025-08-09 20:02:48.014 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node= auditAction=commandRedo
2025-08-09 20:03:38.328 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 20:03:44.464 AUDIT INFO  asyncSuccess | Opening | project= action=async:Opening node=New Program auditAction=asyncSuccess
2025-08-09 20:04:07.988 AUDIT INFO  commandExecute | Paste Subject | project= action=execute:Paste Subject node=Aspect auditAction=commandExecute
2025-08-09 20:04:08.028 AUDIT INFO  nodePaste | Subject | project= action= node=Subject auditAction=nodePaste
2025-08-09 20:04:13.163 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 20:04:41.379 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node= auditAction=commandExecute
2025-08-09 20:04:41.380 AUDIT INFO  nodeMove | Move P to B | project= action=execute:Move P to B node= auditAction=nodeMove
2025-08-09 20:04:41.380 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node= auditAction=commandUndo
2025-08-09 20:04:41.380 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node= auditAction=commandRedo
2025-08-09 20:05:42.172 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node= auditAction=commandExecute
2025-08-09 20:05:42.173 AUDIT INFO  nodeMove | Move P to B | project= action=execute:Move P to B node= auditAction=nodeMove
2025-08-09 20:05:42.173 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node= auditAction=commandUndo
2025-08-09 20:05:42.173 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node= auditAction=commandRedo
2025-08-09 20:09:58.420 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node= auditAction=commandExecute
2025-08-09 20:09:58.420 AUDIT INFO  nodeMove | Move P to B | project= action=execute:Move P to B node= auditAction=nodeMove
2025-08-09 20:09:58.420 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node= auditAction=commandUndo
2025-08-09 20:09:58.420 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node= auditAction=commandRedo
2025-08-09 20:10:23.383 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 20:10:28.858 AUDIT INFO  asyncSuccess | Opening | project= action=async:Opening node=New Program auditAction=asyncSuccess
2025-08-09 20:10:37.049 AUDIT INFO  commandExecute | Delete Subject | project= action=execute:Delete Subject node=Subject auditAction=commandExecute
2025-08-09 20:10:42.263 AUDIT INFO  commandExecute | Delete Aspect | project= action=execute:Delete Aspect node=Aspect auditAction=commandExecute
2025-08-09 20:10:46.760 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 20:12:24.668 AUDIT INFO  asyncSuccess | Opening | project= action=async:Opening node=New Program auditAction=asyncSuccess
2025-08-09 20:13:03.977 AUDIT INFO  commandExecute | Delete Activity | project= action=execute:Delete Activity node=Activity auditAction=commandExecute
2025-08-09 20:13:05.872 AUDIT INFO  commandUndo | Delete Activity | project= action=undo:Delete Activity node=Subject auditAction=commandUndo
2025-08-09 20:29:20.472 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node= auditAction=commandExecute
2025-08-09 20:29:20.472 AUDIT INFO  nodeMove | Move P to B | project= action=execute:Move P to B node= auditAction=nodeMove
2025-08-09 20:29:20.473 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node= auditAction=commandUndo
2025-08-09 20:29:20.473 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node= auditAction=commandRedo
2025-08-09 20:30:02.493 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 20:30:07.786 AUDIT INFO  asyncSuccess | Opening | project= action=async:Opening node=New Program auditAction=asyncSuccess
2025-08-09 20:30:20.010 AUDIT INFO  commandExecute | Delete Activity | project= action=execute:Delete Activity node=Activity auditAction=commandExecute
2025-08-09 20:30:24.797 AUDIT INFO  commandExecute | Delete Activity | project= action=execute:Delete Activity node=Activity auditAction=commandExecute
